NCES School ID,State School ID,NCES District ID,State District ID,NCES DistrictID2,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
250279000698,350541,2502790,35,2502790,9,12,ANOTHER COURSE TO COLLEGE,BOSTON,SUFFOLK COUNTY,20 WARREN STREET,BRIGHTON,MA,2135,,6176358865,11,City: Large,No,–,Yes,Yes,210.0,16.73,12.6,129.0,26.0
250279000011,350003,2502790,35,2502790,PK,1,BALDWIN EARLY LEARNING CENTER,BOSTON,SUFFOLK COUNTY,121 COREY ROAD,BRIGHTON,MA,2135,,6176358409,11,City: Large,No,–,Yes,Yes,192.0,14.0,13.7,74.0,19.0
250279000198,350021,2502790,35,2502790,PK,3,BEETHOVEN,BOSTON,SUFFOLK COUNTY,5125 WASHINGTON STREET,WEST ROXBURY,MA,2132,6046,6176358149,11,City: Large,No,–,Yes,Yes,304.0,21.0,14.5,129.0,25.0
250279000201,350390,2502790,35,2502790,PK,5,BLACKSTONE,BOSTON,SUFFOLK COUNTY,380 SHAWMUT AVENUE,BOSTON,MA,2118,2006,6176358471,11,City: Large,No,–,Yes,Yes,579.0,48.49,11.9,415.0,2.0
250279001511,350548,2502790,35,2502790,10,12,BOSTON ADULT ACADEMY,BOSTON,SUFFOLK COUNTY,429 NORFOLK ST,DORCHESTER,MA,2124,,6176351542,11,City: Large,No,–,Yes,Yes,298.0,17.64,16.9,171.0,7.0
250279001128,350546,2502790,35,2502790,9,12,BOSTON ARTS ACADEMY,BOSTON,SUFFOLK COUNTY,174 IPSWICH STREET,BOSTON,MA,2215,,6176356470,11,City: Large,No,–,Yes,Yes,418.0,41.95,10.0,233.0,41.0
250279001692,350558,2502790,35,2502790,9,12,BOSTON COMMUNITY LEADERSHIP ACADEMY,BOSTON,SUFFOLK COUNTY,20 WARREN ST,BRIGHTON,MA,2135,,6176358937,11,City: Large,No,–,Yes,Yes,473.0,44.39,10.7,353.0,48.0
250279002015,350507,2502790,35,2502790,9,12,BOSTON INTERNATIONAL HIGH SCHOOL,BOSTON,SUFFOLK COUNTY,25 GLEN ROAD,JAMAICA PLAIN,MA,2130,,6176359373,11,City: Large,No,–,Yes,Yes,342.0,21.3,16.1,240.0,7.0
250279000203,350560,2502790,35,2502790,7,12,BOSTON LATIN,BOSTON,SUFFOLK COUNTY,78 AVENUE LOUIS PASTEUR,BOSTON,MA,2115,5791,6176358895,11,City: Large,No,–,No,†,2352.0,121.24,19.4,498.0,176.0
250279000204,350545,2502790,35,2502790,7,12,BOSTON LATIN ACADEMY,BOSTON,SUFFOLK COUNTY,205 TOWNSEND STREET,DORCHESTER,MA,2121,1223,6176359957,11,City: Large,No,–,Yes,Yes,1680.0,98.82,17.0,691.0,196.0
