NCES School ID,State School ID,NCES District ID,State District ID,NCES DistrictID2,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
250279000698,00350541,2502790,35,2502790,09,12,ANOTHER COURSE TO COLLEGE,BOSTON,SUFFOLK COUNTY,20 WARREN STREET,BRIGHTON,MA,02135,,6176358865,11,City: Large,No,Ð,Yes,Yes,210.00000,16.73000,12.6000000,129.00000,26.00000
250279000011,00350003,2502790,35,2502790,PK,01,BALDWIN EARLY LEARNING CENTER,BOSTON,SUFFOLK COUNTY,121 COREY ROAD,BRIGHTON,MA,02135,,6176358409,11,City: Large,No,Ð,Yes,Yes,192.00000,14.00000,13.7000000,74.00000,19.00000
250279000198,00350021,2502790,35,2502790,PK,03,BEETHOVEN,BOSTON,SUFFOLK COUNTY,5125 WASHINGTON STREET,WEST ROXBURY,MA,02132,6046,6176358149,11,City: Large,No,Ð,Yes,Yes,304.00000,21.00000,14.5000000,129.00000,25.00000
250279000201,00350390,2502790,35,2502790,PK,05,BLACKSTONE,BOSTON,SUFFOLK COUNTY,380 SHAWMUT AVENUE,BOSTON,MA,02118,2006,6176358471,11,City: Large,No,Ð,Yes,Yes,579.00000,48.49000,11.9000000,415.00000,2.00000
250279001511,00350548,2502790,35,2502790,10,12,BOSTON ADULT ACADEMY,BOSTON,SUFFOLK COUNTY,429 NORFOLK ST,DORCHESTER,MA,02124,,6176351542,11,City: Large,No,Ð,Yes,Yes,298.00000,17.64000,16.9000000,171.00000,7.00000
250279001128,00350546,2502790,35,2502790,09,12,BOSTON ARTS ACADEMY,BOSTON,SUFFOLK COUNTY,174 IPSWICH STREET,BOSTON,MA,02215,,6176356470,11,City: Large,No,Ð,Yes,Yes,418.00000,41.95000,10.0000000,233.00000,41.00000
250279001692,00350558,2502790,35,2502790,09,12,BOSTON COMMUNITY LEADERSHIP ACADEMY,BOSTON,SUFFOLK COUNTY,20 WARREN ST,BRIGHTON,MA,02135,,6176358937,11,City: Large,No,Ð,Yes,Yes,473.00000,44.39000,10.7000000,353.00000,48.00000
250279002015,00350507,2502790,35,2502790,09,12,BOSTON INTERNATIONAL HIGH SCHOOL,BOSTON,SUFFOLK COUNTY,25 GLEN ROAD,JAMAICA PLAIN,MA,02130,,6176359373,11,City: Large,No,Ð,Yes,Yes,342.00000,21.30000,16.1000000,240.00000,7.00000
250279000203,00350560,2502790,35,2502790,07,12,BOSTON LATIN,BOSTON,SUFFOLK COUNTY,78 AVENUE LOUIS PASTEUR,BOSTON,MA,02115,5791,6176358895,11,City: Large,No,Ð,No, ,2352.00000,121.24000,19.4000000,498.00000,176.00000
250279000204,00350545,2502790,35,2502790,07,12,BOSTON LATIN ACADEMY,BOSTON,SUFFOLK COUNTY,205 TOWNSEND STREET,DORCHESTER,MA,02121,1223,6176359957,11,City: Large,No,Ð,Yes,Yes,1680.00000,98.82000,17.0000000,691.00000,196.00000
250279001615,00350413,2502790,35,2502790,07,08,BOSTON MIDDLE SCHOOL ACADEMY,BOSTON,SUFFOLK COUNTY,215 DORCHESTER STREET,SOUTH BOSTON,MA,02127,,6176351534,11,City: Large,No,Ð,No, ,7.00000,7.00000,1.0000000,4.00000,0.00000
250279002687,00350012,2502790,35,2502790,PK,08,BOSTON TEACHERS UNION SCHOOL,BOSTON,SUFFOLK COUNTY,25 WALK HILL STREET,JAMAICA PLAIN,MA,02130,,6176357717,11,City: Large,No,Ð,Yes,Yes,311.00000,18.98000,16.4000000,184.00000,17.00000
250279000208,00350505,2502790,35,2502790,09,12,BRIGHTON HIGH,BOSTON,SUFFOLK COUNTY,25 WARREN STREET,BRIGHTON,MA,02135,3601,6176359873,11,City: Large,No,Ð,Yes,Yes,1144.00000,78.46000,14.6000000,869.00000,48.00000
250279002729,00350658,2502790,35,2502790,09,12,BROOK FARM/MEDIA HIGH,BOSTON,SUFFOLK COUNTY,1205 V.F.W. PARKWAY,WEST ROXBURY,MA,02132,,6176358935,11,City: Large,No,Ð,No, ,697.00000,51.36000,13.6000000,450.00000,33.00000
